Date,000001.SS,Bovespa (Brazil),FTSE 100 (UK),S&P 500 (USA),Nikkei 225 (Japan),NIFTY 50 (India)
2000-03-24,1730.4990234375,18675.0,6738.5,1527.4599609375,19958.080078125,4494.64990234375
2000-03-27,1775.9139404296875,18951.0,6687.2001953125,1523.8599853515625,20281.029296875,4494.64990234375
2000-03-28,1791.4410400390625,18338.0,6650.10009765625,1507.72998046875,20374.33984375,4494.64990234375
2000-03-29,1788.8070068359375,18053.0,6598.7998046875,1508.52001953125,20706.650390625,4494.64990234375
2000-03-30,1810.9840087890625,17647.0,6445.2001953125,1487.9200439453125,20441.5,4494.64990234375
2000-03-31,1800.2249755859375,17820.0,6540.2001953125,1498.5799560546875,20337.3203125,4494.64990234375
2000-04-03,1801.0030517578125,17245.0,6462.10009765625,1505.969970703125,20726.990234375,4494.64990234375
2000-04-04,1760.6920166015625,16758.0,6427.0,1494.72998046875,20594.9296875,4494.64990234375
2000-04-05,1771.198974609375,16714.0,6379.2998046875,1487.3699951171875,20462.76953125,4494.64990234375
2000-04-06,1809.1409912109375,17146.0,6451.10009765625,1501.3399658203125,20223.609375,4494.64990234375
2000-04-07,1819.89599609375,17514.0,6569.89990234375,1516.3499755859375,20252.810546875,4494.64990234375
2000-04-10,1826.06103515625,16783.0,6533.39990234375,1504.4599609375,20619.060546875,4494.64990234375
2000-04-11,1821.1739501953125,16539.0,6379.2001953125,1500.5899658203125,20522.51953125,4494.64990234375
2000-04-12,1807.3280029296875,16323.0,6350.7998046875,1467.1700439453125,20833.2109375,4494.64990234375
2000-04-13,1831.5479736328125,15501.0,6357.0,1440.510009765625,20526.419921875,4494.64990234375
2000-04-14,1833.6650390625,14794.0,6178.10009765625,1356.56005859375,20434.6796875,4494.64990234375
2000-04-17,1795.0579833984375,14816.0,5994.60009765625,1401.43994140625,19008.640625,4494.64990234375
2000-04-18,1813.4949951171875,15408.0,6074.0,1441.6099853515625,18969.51953125,4494.64990234375
2000-04-19,1828.7099609375,14926.0,6184.89990234375,1427.469970703125,19086.619140625,4494.64990234375
2000-04-20,1847.0269775390625,15203.0,6241.2001953125,1434.5400390625,18959.3203125,4494.64990234375
2000-04-21,1841.06396484375,15203.0,6241.2001953125,1434.5400390625,18252.6796875,4494.64990234375
2000-04-24,1837.39794921875,14794.0,6241.2001953125,1429.8599853515625,18480.150390625,4494.64990234375
2000-04-25,1833.468994140625,15401.0,6283.0,1477.43994140625,18272.330078125,4494.64990234375
2000-04-26,1832.779052734375,15446.0,6256.5,1460.989990234375,18134.310546875,4494.64990234375
2000-04-27,1806.8299560546875,15440.0,6179.2998046875,1464.9200439453125,18019.169921875,4494.64990234375
2000-04-28,1836.321044921875,15538.0,6327.39990234375,1452.4300537109375,17973.69921875,4494.64990234375
2000-05-01,1836.321044921875,15538.0,6327.39990234375,1468.25,18403.080078125,4494.64990234375
2000-05-02,1836.321044921875,15524.0,6373.39990234375,1446.2900390625,18439.359375,4494.64990234375
2000-05-03,1836.321044921875,15109.0,6184.7998046875,1415.0999755859375,18439.359375,4494.64990234375
2000-05-04,1836.321044921875,14970.0,6199.60009765625,1409.5699462890625,18439.359375,4494.64990234375
2000-05-05,1836.321044921875,15218.0,6238.7998046875,1432.6300048828125,18439.359375,4494.64990234375
2000-05-08,1836.636962890625,14891.0,6216.2998046875,1424.1700439453125,18199.9609375,4494.64990234375
2000-05-09,1806.637939453125,14582.0,6123.7998046875,1412.1400146484375,17844.5390625,4494.64990234375
2000-05-10,1752.68896484375,14434.0,6100.7001953125,1383.050048828125,17701.470703125,4494.64990234375
2000-05-11,1724.0479736328125,14499.0,6245.89990234375,1407.81005859375,16882.4609375,4494.64990234375
2000-05-12,1720.6080322265625,14459.0,6283.5,1420.9599609375,17357.859375,4494.64990234375
2000-05-15,1704.5870361328125,15056.0,6247.7001953125,1452.3599853515625,17313.689453125,4494.64990234375
2000-05-16,1724.5379638671875,15360.0,6318.39990234375,1466.0400390625,17551.25,4494.64990234375
2000-05-17,1725.39794921875,14871.0,6196.2001953125,1447.800048828125,17404.029296875,4494.64990234375
2000-05-18,1758.5369873046875,14627.0,6233.0,1437.2099609375,17031.630859375,4494.64990234375
2000-05-19,1777.8280029296875,14327.0,6045.39990234375,1406.949951171875,16858.169921875,4494.64990234375
2000-05-22,1824.7359619140625,13891.0,6035.5,1400.719970703125,16386.009765625,4494.64990234375
2000-05-23,1832.074951171875,13587.0,6086.7998046875,1373.8599853515625,16318.73046875,4494.64990234375
2000-05-24,1855.4930419921875,14166.0,6118.60009765625,1399.050048828125,16044.4404296875,4494.64990234375
2000-05-25,1880.7039794921875,14186.0,6231.10009765625,1381.52001953125,16247.8203125,4494.64990234375
2000-05-26,1879.616943359375,14542.0,6216.89990234375,1378.02001953125,16008.1396484375,4494.64990234375
2000-05-29,1898.748046875,14773.0,6216.89990234375,1378.02001953125,16245.4404296875,4494.64990234375
2000-05-30,1877.470947265625,15249.0,6359.60009765625,1422.449951171875,16228.900390625,4494.64990234375
2000-05-31,1894.553955078125,14957.0,6359.39990234375,1420.5999755859375,16332.4501953125,4494.64990234375
2000-06-01,1903.488037109375,15450.0,6470.5,1448.81005859375,16694.30078125,4494.64990234375
2000-06-02,1916.25,16222.0,6626.39990234375,1477.260009765625,16800.060546875,4494.64990234375
2000-06-05,1899.092041015625,16023.0,6546.7001953125,1467.6300048828125,17201.7890625,4494.64990234375
2000-06-06,1925.5439453125,15947.0,6546.7998046875,1457.8399658203125,17170.080078125,4494.64990234375
2000-06-07,1935.031005859375,16272.0,6503.7998046875,1471.3599853515625,17144.9609375,4494.64990234375
2000-06-08,1925.2060546875,16399.0,6496.60009765625,1461.6700439453125,17004.33984375,4494.64990234375
2000-06-09,1900.7869873046875,16342.0,6443.7998046875,1456.949951171875,16861.91015625,4494.64990234375
2000-06-12,1912.5570068359375,16097.0,6430.89990234375,1446.0,16980.609375,4494.64990234375
2000-06-13,1938.6739501953125,16354.0,6447.10009765625,1469.43994140625,16914.94921875,4494.64990234375
2000-06-14,1932.2900390625,16366.0,6536.2998046875,1470.5400390625,16654.419921875,4494.64990234375
2000-06-15,1942.2850341796875,16561.0,6490.7998046875,1478.72998046875,16338.7001953125,4494.64990234375
2000-06-16,1926.9439697265625,16425.0,6526.0,1464.4599609375,16318.3095703125,4494.64990234375
2000-06-19,1915.2049560546875,16850.0,6490.2001953125,1486.0,16591.349609375,4494.64990234375
2000-06-20,1895.3480224609375,16844.0,6526.89990234375,1475.949951171875,16907.55078125,4494.64990234375
2000-06-21,1913.1309814453125,17254.0,6477.7998046875,1479.1300048828125,17210.080078125,4494.64990234375
2000-06-22,1913.9010009765625,17254.0,6413.7998046875,1452.1800537109375,17106.009765625,4494.64990234375
2000-06-23,1939.626953125,16977.0,6391.5,1441.47998046875,16963.2109375,4494.64990234375
2000-06-26,1948.6390380859375,16745.0,6405.2001953125,1455.31005859375,16925.400390625,4494.64990234375
2000-06-27,1942.89794921875,16512.0,6375.2998046875,1450.550048828125,17279.060546875,4494.64990234375
2000-06-28,1947.781005859375,16842.0,6313.5,1454.8199462890625,17370.169921875,4494.64990234375
2000-06-29,1937.260986328125,16407.0,6239.0,1442.3900146484375,17475.900390625,4494.64990234375
2000-06-30,1928.10595703125,16728.0,6312.7001953125,1454.5999755859375,17411.05078125,4494.64990234375
2000-07-03,1895.636962890625,17089.0,6470.39990234375,1469.5400390625,17614.66015625,4494.64990234375
2000-07-04,1907.9310302734375,17279.0,6417.0,1469.5400390625,17470.150390625,4494.64990234375
2000-07-05,1909.18701171875,17135.0,6382.5,1446.22998046875,17435.94921875,4494.64990234375
2000-07-06,1902.552001953125,17348.0,6419.60009765625,1456.6700439453125,17282.369140625,4494.64990234375
2000-07-07,1932.7919921875,17599.0,6497.5,1478.9000244140625,17398.240234375,4494.64990234375
2000-07-10,1948.02099609375,17472.0,6466.2001953125,1475.6199951171875,17572.6796875,4494.64990234375
2000-07-11,1960.541015625,16881.0,6475.7998046875,1480.8800048828125,17504.359375,4494.64990234375
2000-07-12,1973.3740234375,17053.0,6518.5,1492.9200439453125,17342.130859375,4494.64990234375
2000-07-13,1979.2010498046875,16444.0,6475.7001953125,1495.8399658203125,17036.900390625,4494.64990234375
2000-07-14,1987.1920166015625,16881.0,6475.39990234375,1509.97998046875,17142.900390625,4494.64990234375
2000-07-17,1982.47900390625,17388.0,6525.5,1510.489990234375,17286.830078125,4494.64990234375
2000-07-18,1993.9859619140625,17369.0,6450.5,1493.739990234375,16945.0703125,4494.64990234375
2000-07-19,1998.426025390625,16928.0,6465.5,1481.9599609375,16983.5703125,4494.64990234375
2000-07-20,1991.56005859375,17204.0,6469.0,1495.5699462890625,16983.5703125,4494.64990234375
2000-07-21,1996.3360595703125,17318.0,6378.39990234375,1480.18994140625,16811.490234375,4494.64990234375
2000-07-24,1989.239013671875,17386.0,6381.2998046875,1464.2900390625,16547.119140625,4494.64990234375
